index,function,description,example,exp output
0,abs(),Returns the absolute value of a number
1,all(),Returns True if all items in an iterable object are true
2,any(),Returns True if any item in an iterable object is true
3,ascii(),Returns a readable version of an object. Replaces none-ascii characters with escape character
4,bin(),Returns the binary version of a number
5,bool(),Returns the boolean value of the specified object
6,bytearray(),Returns an array of bytes
7,bytes(),Returns a bytes object
8,callable(),Returns True if the specified object is callable otherwise False
9,chr(),Returns a character from the specified   Unicode code.
10,classmethod(),Converts a method into a class method
11,compile(),Returns the specified source as an object ready to be executed
12,complex(),Returns a complex number
13,delattr(),Deletes the specified attribute (property or method) from the specified object
14,dict(),Returns a dictionary (Array)
15,dir(),Returns a list of the specified object's properties and methods
16,divmod(),Returns the quotient and the remainder when argument1 is divided by argument2
17,enumerate(),Takes a collection (e.g. a tuple) and returns it as an enumerate object
18,eval(),Evaluates and executes an expression
19,exec(),Executes the specified code (or object)
20,filter(),Use a filter function to exclude items in an iterable object
21,float(),Returns a floating point number
22,format(),Formats a specified value
23,frozenset(),Returns a frozenset object
24,getattr(),Returns the value of the specified attribute (property or method)
25,globals(),Returns the current global symbol table as a dictionary
26,hasattr(),Returns True if the specified object has the specified attribute (property/method)
27,hash(),Returns the hash value of a specified object
28,help(),Executes the built-in help system
29,hex(),Converts a number into a hexadecimal value
30,id(),Returns the id of an object
31,input(),Allowing user input
32,int(),Returns an integer number
33,isinstance(),Returns True if a specified object is an instance of a specified object
34,issubclass(),Returns True if a specified class is a subclass of a specified object
35,iter(),Returns an iterator object
36,len(),Returns the length of an object
37,list(),Returns a list
38,locals(),Returns an updated dictionary of the current local symbol table
39,map(),Returns the specified iterator with the specified function applied to each item
40,max(),Returns the largest item in an iterable
41,memoryview(),Returns a memory view object
42,min(),Returns the smallest item in an iterable
43,next(),Returns the next item in an iterable
44,object(),Returns a new object
45,oct(),Converts a number into an octal
46,open(),Opens a file and returns a file object
47,ord(),Convert an integer   representing the Unicode of the specified character
48,pow(),Returns the value of x to the power of y
49,print(),Prints to the standard output device
50,property(),Gets sets deletes a property
51,range(),Returns a sequence of numbers starting from 0 and increments by 1 (by default)
52,repr(),Returns a readable version of an object
53,reversed(),Returns a reversed iterator
54,round(),Rounds a numbers
55,set(),Returns a new set object
56,setattr(),Sets an attribute (property/method) of an object
57,slice(),Returns a slice object
58,sorted(),Returns a sorted list
59,@staticmethod(),Converts a method into a static method
60,str(),Returns a string object
61,sum(),Sums the items of an iterator
62,super(),Returns an object that represents the parent class
63,tuple(),Returns a tuple
64,type(),Returns the type of an object
65,vars(),Returns the __dict__ property of an object
66,zip(),Returns an iterator from two or more iterators
